Number,Species,Temp,Recorded,Diameter.in,Diameter.cm
17,A. grosmanniae,52,49.4,1.00,2.54
17,A. grosmanniae,56,53.92,1.00,2.54
17,A. grosmanniae,60,54.59,1.00,2.54
18,A. grosmanniae,40,34.93,0.69,1.75
18,A. grosmanniae,44,39.65,0.69,1.75
18,A. grosmanniae,48,43.16,0.69,1.75
18,A. grosmanniae,52,47.62,0.69,1.75
18,A. grosmanniae,56,52.18,0.69,1.75
18,A. grosmanniae,60,55.93,0.69,1.75
19,A. grosmanniae,40,35.69,0.88,2.24
19,A. grosmanniae,44,39.02,0.88,2.24
19,A. grosmanniae,48,43.1,0.88,2.24
19,A. grosmanniae,52,48.69,0.88,2.24
19,A. grosmanniae,56,50.56,0.88,2.24
19,A. grosmanniae,60,54.97,0.88,2.24
20,A. grosmanniae,40,36.57,0.75,1.91
20,A. grosmanniae,44,38.89,0.75,1.91
20,A. grosmanniae,48,45.25,0.75,1.91
20,A. grosmanniae,52,45.34,0.75,1.91
20,A. grosmanniae,56,52.86,0.75,1.91
20,A. grosmanniae,60,55.62,0.75,1.91
21,A. grosmanniae,40,35.65,0.94,2.39
21,A. grosmanniae,44,40.55,0.94,2.39
21,A. grosmanniae,48,42.89,0.94,2.39
21,A. grosmanniae,52,47.76,0.94,2.39
21,A. grosmanniae,56,52.43,0.94,2.39
21,A. grosmanniae,60,56.62,0.94,2.39
22,A. grosmanniae,40,37.21,1.06,2.69
22,A. grosmanniae,44,40.78,1.06,2.69
22,A. grosmanniae,48,43.76,1.06,2.69
22,A. grosmanniae,52,47.11,1.06,2.69
22,A. grosmanniae,56,52.17,1.06,2.69
22,A. grosmanniae,60,54.71,1.06,2.69
23,A. grosmanniae,40,37.37,0.81,2.06
23,A. grosmanniae,44,38.4,0.81,2.06
23,A. grosmanniae,48,44.6,0.81,2.06
23,A. grosmanniae,52,48.66,0.81,2.06
23,A. grosmanniae,56,52.66,0.81,2.06
23,A. grosmanniae,60,56.65,0.81,2.06
24,A. grosmanniae,40,37.02,1.06,2.69
24,A. grosmanniae,44,39.59,1.06,2.69
24,A. grosmanniae,48,45.13,1.06,2.69
24,A. grosmanniae,52,47.14,1.06,2.69
24,A. grosmanniae,56,51.63,1.06,2.69
24,A. grosmanniae,60,56.49,1.06,2.69
25,A. grosmanniae,40,35.66,0.75,1.91
25,A. grosmanniae,44,40.9,0.75,1.91
25,A. grosmanniae,48,45.34,0.75,1.91
25,A. grosmanniae,52,46.55,0.75,1.91
25,A. grosmanniae,56,51.59,0.75,1.91
25,A. grosmanniae,60,54.96,0.75,1.91
26,A. grosmanniae,40,34.89,0.88,2.24
26,A. grosmanniae,44,38.09,0.88,2.24
26,A. grosmanniae,48,44.61,0.88,2.24
26,A. grosmanniae,52,49.37,0.88,2.24
26,A. grosmanniae,56,50.22,0.88,2.24
26,A. grosmanniae,60,56.15,0.88,2.24
27,A. grosmanniae,40,34.65,1.13,2.87
27,A. grosmanniae,44,38.58,1.13,2.87
27,A. grosmanniae,48,43.8,1.13,2.87
27,A. grosmanniae,52,45.67,1.13,2.87
27,A. grosmanniae,56,52.88,1.13,2.87
27,A. grosmanniae,60,56.4,1.13,2.87
28,A. grosmanniae,40,34.85,1.00,2.54
28,A. grosmanniae,44,38.11,1.00,2.54
28,A. grosmanniae,48,42.27,1.00,2.54
28,A. grosmanniae,52,48.3,1.00,2.54
28,A. grosmanniae,56,50.62,1.00,2.54
