Species,Plate,Point ,Area,Temp
X. cleistominuta,13,9,Agar,40.4
X. cleistominuta,13,10,Agar,41.1
X. cleistominuta,13,11,Agar,41.1
X. cleistominuta,13,12,Agar,41.1
X. cleistominuta,13,13,Agar,41.1
X. cleistominuta,13,14,Agar,41.3
X. cleistominuta,13,15,Agar,41.4
X. cleistominuta,13,1,Fungi,38.4
X. cleistominuta,13,2,Fungi,38.5
X. cleistominuta,13,3,Fungi,39
X. cleistominuta,13,4,Fungi,39.5
X. cleistominuta,13,5,Fungi,40.3
X. cleistominuta,13,6,Fungi,40.7
X. cleistominuta,13,7,Fungi,38.6
X. cleistominuta,13,8,Fungi,38.5
X. cleistominuta,13,9,Fungi,40
X. cleistominuta,13,10,Fungi,38.8
X. cleistominuta,13,11,Fungi,40.8
X. cleistominuta,13,12,Fungi,40
X. cleistominuta,13,13,Fungi,40.6
X. cleistominuta,13,14,Fungi,40.4
X. cleistominuta,13,15,Fungi,38.6
X. cleistominuta,14,1,Agar,42.2
X. cleistominuta,14,2,Agar,42.4
X. cleistominuta,14,3,Agar,42
X. cleistominuta,14,4,Agar,42.3
X. cleistominuta,14,5,Agar,42.4
X. cleistominuta,14,6,Agar,42.1
X. cleistominuta,14,7,Agar,42.3
X. cleistominuta,14,8,Agar,42.4
X. cleistominuta,14,9,Agar,42.2
X. cleistominuta,14,10,Agar,42.4
X. cleistominuta,14,11,Agar,42.3
X. cleistominuta,14,12,Agar,42.3
X. cleistominuta,14,13,Agar,42.2
X. cleistominuta,14,14,Agar,42.3
X. cleistominuta,14,15,Agar,42.4
X. cleistominuta,14,1,Fungi,40.9
X. cleistominuta,14,2,Fungi,40.4
X. cleistominuta,14,3,Fungi,40.6
X. cleistominuta,14,4,Fungi,40.8
X. cleistominuta,14,5,Fungi,40.4
X. cleistominuta,14,6,Fungi,41.1
X. cleistominuta,14,7,Fungi,41.7
X. cleistominuta,14,8,Fungi,41
X. cleistominuta,14,9,Fungi,41.3
X. cleistominuta,14,10,Fungi,42.1
X. cleistominuta,14,11,Fungi,41.1
X. cleistominuta,14,12,Fungi,40.5
X. cleistominuta,14,13,Fungi,40.8
X. cleistominuta,14,14,Fungi,40.7
X. cleistominuta,14,15,Fungi,42
X. cleistominuta,15,1,Agar,42
X. cleistominuta,15,2,Agar,42
X. cleistominuta,15,3,Agar,42.4
X. cleistominuta,15,4,Agar,42.3
X. cleistominuta,15,5,Agar,42.4
X. cleistominuta,15,6,Agar,42.5
X. cleistominuta,15,7,Agar,42.1
X. cleistominuta,15,8,Agar,42
X. cleistominuta,15,9,Agar,42.2
X. cleistominuta,15,10,Agar,42.2
X. cleistominuta,15,11,Agar,42.4
X. cleistominuta,15,12,Agar,42.2
X. cleistominuta,15,13,Agar,41.8
X. cleistominuta,15,14,Agar,41.9
X. cleistominuta,15,15,Agar,42.1
X. cleistominuta,15,1,Fungi,41.9
X. cleistominuta,15,2,Fungi,40.4
X. cleistominuta,15,3,Fungi,40.7
X. cleistominuta,15,4,Fungi,41.3
X. cleistominuta,15,5,Fungi,41.9
X. cleistominuta,15,6,Fungi,41.4
X. cleistominuta,15,7,Fungi,41.2
X. cleistominuta,15,8,Fungi,40.5
X. cleistominuta,15,9,Fungi,41.1
X. cleistominuta,15,10,Fungi,41.2
X. cleistominuta,15,11,Fungi,41.3
